Text,Class,filtered_text
One of the famous and biggest Private Hospital in Bangladesh.Square Hospital is located in the heart of Dhaka and aims to serve greater portion of the capital city. At present Square Hospital comprises of three buildings on either side of …,positive,famous biggest private hospital bangladesh square hospital locate heart dhaka aim serve greater portion capital city present square hospital comprise three build either side
Worst hospital in Bangladesh. They have cases running in courts for malpratice. The doctors dont even know what they are doing.,negative,worst hospital bangladesh case run court malpratice doctor dont even know
"It is the best hospital in Bangladesh is driven by experienced doctors, advanced technology and modern diagnostic equipment and state of-the-art-facility. All Doctors, staff & nurses are well behaved. All premises are neat & clean. Earlier …",positive,best hospital bangladesh drive experience doctor advance technology modern diagnostic equipment state facility doctor staff nurse well behave premise neat clean earlier
"quare Hospitals Limited, a concern of Square Group is a 400-bed tertiary care hospital. The hospital is an affiliate partner of Methodist Healthcare, Memphis, Tennessee, USA, SingHealth, Singapore, Bangkok Hospital Medical Centre, Thailand …",positive,quare hospitals limit concern square group tertiary care hospital hospital affiliate partner methodist healthcare memphis tennessee singhealth singapore bangkok hospital medical centre thailand
"This hospital is very bad, people are murdered instead of people's treatment. Who is dead manNot interested in this hopitals.There are different types of people instead of human treatment The threat is given. Here is the treatment of …",negative,hospital people murder instead people treatment dead mannot interest hopitals different type people instead human treatment threat give treatment
"Good for their facilities, well behaved employees, clean cafeteria, taste food, well served cabin, door to door food parcel from cafeteria, and good hospitality as well.",positive,good facilities well behave employees clean cafeteria taste food well serve cabin door door food parcel cafeteria good hospitality well
Square Hospitals Limited is a 400 beds tertiary care hospital and the leading contributor of private healthcare services in Bangladesh. This has been achieved only through consistent commitment to improving the lives of people through …,positive,square hospitals limit bed tertiary care hospital lead contributor private healthcare service bangladesh achieve consistent commitment improve live people
"Good service, hospital is owned by one of the top group of companies of the country",positive,good service hospital own group company country
"Appalling service. My dad was seen by diabetologist Dr Pratik Dewan. He asked for fasting blood sugar, but did not take time to explain that my dad should have stopped his anti diabetic meds the night before. …",negative,appal service see diabetologist pratik dewan ask fast blood sugar take time explain stop anti diabetic meds night
Excellent environment and Maternity service is very good quality.,positive,excellent environment maternity service good quality
"Slow service more than expected. Very very slow. I had to wait 2/3 hours for 30 minutes of work.  Doctor officer, he will come as his wishes.  Does the patient have any worries or if the patient waits for 1 or 2 hours? Not only if the …",negative,slow service expect slow wait hours minutes work doctor officer come wish patient worry patient wait hours
This hospital will be at the top of the list of hospitals for the rich. The atmosphere inside or outside is great. The quality of service is also respectable. But sometimes some activities put the quality of their service in question. The …,positive,hospital list hospitals rich atmosphere inside outside great quality service also respectable sometimes activities quality service question
"An expensive and gorgeous private hospital in Bangladesh. Services are satisfactory regardless it expense. Usually people with high income seek their treatment.  Diagnosis,  consultation, Operations charge all are highly levied. It would be …",positive,expensive gorgeous private hospital bangladesh service satisfactory regardless expense usually people high income seek treatment diagnosis consultation operations charge highly levy would
very good service with beautiful environment.,positive,good service beautiful environment
One of the famous hospital not only in service quality but also well furnished atmosphere with digital security system. …,positive,famous hospital service quality also well furnish atmosphere digital security system
"It's a moderate private hospital with a tiny apartment size parking space. I drove there as a patient and couldn't park my car, had to park it a mile away from the hospital and walk myself back. Horrible experience.  Laboratory charges are …",negative,moderate private hospital tiny apartment size park space drive patient park park mile away hospital walk back horrible experience laboratory charge
"Square Hoapital Dhaka is situated Dhaka, panthaparh.",positive,square hoapital dhaka situate dhaka panthaparh
"Square Hospitals Limited, a concern of Square Group is a 400-bed tertiary care hospital. The hospital is an affiliate partner of Methodist Healthcare, Memphis, …",positive,square hospitals limit concern square group tertiary care hospital hospital affiliate partner methodist healthcare memphis
"Great medical facilities, highly qualified doctors and one stop service.",positive,great medical facilities highly qualify doctor stop service
"It is one of the prominent hospital in Dhaka. Like other hospitals they are also very commercial in nature. Located in busy panthapath road, it is really convenient for Indira Rd residents. They also have visiting doctors from neighbouring countries.",positive,prominent hospital dhaka like hospitals also commercial nature locate busy panthapath road really convenient indira residents also visit doctor neighbour countries
The services isn't close to top end hospital. Doctors are mediocre. Punctuality is very poor for such an established system. In brief if this is the best bangladesh can offer then I think people of Bangladesh are well off without an doctor,negative,service close hospital doctor mediocre punctuality poor establish system brief best bangladesh offer think people bangladesh well without doctor
It's super speciality and better Hospital in Bangladesh.,positive,super speciality better hospital bangladesh
One of the best hospitals in Bangladesh.,positive,best hospitals bangladesh
The best part is their patient management and nursing care indoors. Nurses take care of medicine schedule and you don't need to follow them up like other …,positive,best part patient management nurse care indoors nurse take care medicine schedule need follow like
Waiting for Hours for doctor to arrive is the most painful of all. They should automate the service a bit more.,negative,wait hours doctor arrive painful automate service
Hospital authority charged extra fee Tk 650 for report showing . They don’t consider the reason for a little delay.,negative,hospital authority charge extra report show consider reason little delay
Overall experience is good. Doctor's consultancy fee is very high and it's increasing day by day,positive,overall experience good doctor consultancy high increase
"Square Hospitals Limited is a 400-bed tertiary care hospital located in the Panthapath, Dhaka. It comprises of two buildings on either side of Panthapath connected by an over-bridge. Their services are very good specially health care …",positive,square hospitals limit tertiary care hospital locate panthapath dhaka comprise build either side panthapath connect bridge service good specially health care
Very good hospital. Nice and good looking environment. Expensive for the patients. Service is too good. Floor is always neat and clean. Well checkup at entrance. Well preparation to prevent covid-19. All staff behaviour is good. This is one …,positive,good hospital nice good look environment expensive patients service good floor always neat clean well checkup entrance well preparation prevent covid staff behaviour good
Highly expensive but has one of the best health care in Bangladesh,positive,highly expensive best health care bangladesh
"I went to see Dr. Pratik Dewan Square Hospital on Panthopot. This was my first visit, no complain about the hospital but I have never seen a doctor so unprofessional and rude. Didn’t bother to listen to the patient and on top of that was …",negative,go pratik dewan square hospital panthopot first visit complain hospital never see doctor unprofessional rude bother listen patient
Good private hospital with its modern facilities and neat and clean. It is expensive for middle class.,positive,good private hospital modern facilities neat clean expensive middle class
"Worst experience I’ve ever had from one of the most expensive hospitals in Bangladesh. In this corona situation, they have only one lift working out of three, had to wait in the lift queue for around 5-10 minutes every time and there’s no …",negative,worst experience ever expensive hospitals bangladesh corona situation lift work three wait lift queue around minutes every time
"Good environment, good system but staff are less cooperative.",mixed,good environment good system staff less cooperative
Spacious and Neat and Clean hospital.Professional stuffs .Helpful stuffs .Punctual about serials .Doctors r professional too and Caring .,positive,spacious neat clean hospital professional stuff helpful stuff punctual serials doctor professional care
If money isn't your problem then consider visiting here for treatment,positive,money problem consider visit treatment
"Their behaviour of security guards are very arrogant, they behave like the president of the country. They even don't know how to communicate with patient and attendants. Nursing service is also not good. Compared to the money they take their service is nothing.",negative,behaviour security guard arrogant behave like president country even know communicate patient attendants nurse service also good compare money take service nothing
It's a average hospital but it's look like a international hospital.  It's too much expensive.,negative,average hospital look like international hospital much expensive
This place was overcrowded during this pandemic specially level 7. There were huge people standing on foot for hours to meet their intended doctor. Though online appointment is required but they did not maintain the time schedule. The …,negative,place overcrowd pandemic specially level huge people stand foot hours meet intend doctor though online appointment require maintain time schedule
A modern well equipped hospital very neat and clean at the same time one of the expensive one,positive,modern well equip hospital neat clean time expensive
"Too much expensive. Though we have to maintain this for my patent.  But the overall service is too worst to compare on behalf of Money. Now a days service of Square  is to low,  in rating I'll give it to 3.5 out of 10. So, this is high time …",negative,much expensive though maintain patent overall service worst compare behalf money days service square rat give high time
Well equipped hospital in dhaka,positive,well equip hospital dhaka
This is one of the best hospital facilities in Bangladesh.,positive,best hospital facilities bangladesh
Hospital Hospitality is very friendly. All doctor are experienced. The environment is nice and clean. Service charge is higher then other hospitals.,positive,hospital hospitality friendly doctor experience environment nice clean service charge higher hospitals
"Both nursing and doctor service is too bad.I think their doctor can't diagnosis patient. They are full dump. Although surrounding is Clean ,food and other is satisfactory.. …",negative,nurse doctor service think doctor diagnosis patient full dump although surround clean food satisfactory
"Dr. Shah Alam, Ophthalmology, refused to pay visit on my appointment as I am 13 minutes late on 17.10.21. Looks like, I came to attend a class! Though I should not be late, due to traffic jam I can not make it on time. …",negative,shah alam ophthalmology refuse visit appointment minutes late look like come attend class though late traffic make time
"Better service. The Square Hospitals neo natal services is one of the best in the Country. They expert Consultants, specially trained and well behaved Nurses and other staffs. I am telling you from my own experiences. …",positive,better service square hospitals natal service best country expert consultants specially train well behave nurse staff tell experience
A renowned hospital in Bangladesh,positive,renowned hospital bangladesh
Visited two times for checkups not sure what to say their staff was very rude though but is covid time so what to say.,negative,visit time checkups sure staff rude though covid time
The hospital was really clean and well maintained surely one of the best …,positive,hospital really clean well maintain surely best
Very expensive.Nurses are not well trained but neat & clean.,mixed,expensive nurse well train neat clean
"Good environment, service quality is better.",positive,good environment service quality better
Im fully satisfied with the services,positive,fully satisfy service
Very Expensive Hospital. Only for rich people. Not for poor people.,negative,expensive hospital rich people poor people
Square hospital needs to work hard to improve their customer service. I have recently went to the hospital to visit our regular doctor who moved from Ever Care to Square. And I was shocked to see the difference in service provided by them. …,negative,square hospital need work hard improve customer service recently go hospital visit regular doctor move ever care square shock difference service provide
"Square Hospitals Limited, a concern of Square Group is a 400-bed tertiary care hospital. The hospital is an affiliate partner of Methodist Healthcare, Memphis, Tennessee, USA, SingHealth, Singapore, Bangkok Hospital Medical Centre, Thailand and Christian Medical College, Vellore, India.",mixed,square hospitals limit concern square group tertiary care hospital hospital affiliate partner methodist healthcare memphis tennessee singhealth singapore bangkok hospital medical centre thailand christian medical college vellore india
One of the most popular hospital in Bangladesh.,positive,popular hospital bangladesh
"One of the greatest hospitals in the country, expensive though.",positive,greatest hospitals country expensive though
It is one of the top five private hospital in Bangladesh. All the modern facilities are available here. Famous doctors are available here. Helicopter ambulance service is also available here. All stuff's are good and well behaved. They aren't compromise in quality services.,positive,five private hospital bangladesh modern facilities available famous doctor available helicopter ambulance service also available stuff good well behave compromise quality service
One of the best hospitals in Bangladesh. Service quality is good.,positive,best hospitals bangladesh service quality good
One of best hospital in Bangladesh. It's neat and clean and decorate well. Highly qualified doctor and nurse are here. Their treatment is world class. But it's true say that 90% people are not getting there service or they are not able to …,positive,best hospital bangladesh neat clean decorate well highly qualify doctor nurse treatment world class true people get service able
"One of few best hospital in Bangladesh right now . Square has done a good job I like there services how they treat there patients and also docs are well, they are high qualified .I was admitted for 1 month and my brother was in ICU for a …",positive,best hospital bangladesh right square do good like service treat patients also docs well high qualify admit month brother
"One of the best hospital in Bangladesh with modern facilities and good doctors, though expensive for general people of the country. This hospital saves a lot of foreign currency as many people who use to go to abroad now take treatment …",positive,best hospital bangladesh modern facilities good doctor though expensive general people country hospital save foreign currency many people abroad take treatment
One of the best Hospital in 🇧🇩. But Huge Amount u need!!  It's expensive!!!,mixed,best hospital huge amount need expensive
Overall quality is good.nurse station nurs is too much helpless. My appointment have 1:48 but i see my dr.is 3:00.,mixed,overall quality good nurse station nurs much helpless appointment
Best in hospital and patient management. They provide better service than other expensive hospitals throughout the country. It would be nice if they can expand treatment for other critical diseases and research.,positive,best hospital patient management provide better service expensive hospitals throughout country would nice expand treatment critical diseases research
Very bad service and so expensive. Foreign Covid test service's stuffs are rude with clients and not helpfull at all.,negative,service expensive foreign covid test service stuff rude clients helpfull
খুবই বাজে,negative,
Square Hospitals Limited is really great hospital in Dhaka City. My nephew had a day surgery booked and the system went quickly and smoothly. All the Staff & Officers are very friendly and took the time to check in with me which is what you …,positive,square hospitals limit really great hospital dhaka city nephew surgery book system go quickly smoothly staff officer friendly take time check
You pay OPD fee to write tons of test names whatever your condition is which will cost you more than expected. I am annoyed to see my prescription written various Tests name including COVID-19 TEST which normally required for serious …,negative,write tons test name whatever condition cost expect annoy prescription write various test name include covid test normally require serious
One of the best private hospitals in Dhaka city the capital of Bangladesh. There are many renowned doctors/specialists/nurses/teams etc. to give service to the patient. Neat & clean environment here and very much disciplined hospital. But …,positive,best private hospitals dhaka city capital bangladesh many renowned doctor specialists nurse team give service patient neat clean environment much discipline hospital
One of the premium private hospitals in Dhaka city. Few good physicians consult there. Service cost is expensive and not for general Bangladeshi people here. It is situated at the centre of Dhaka city at Panthapath and always very busy and …,mixed,premium private hospitals dhaka city good physicians consult service cost expensive general bangladeshi people situate centre dhaka city panthapath always busy
their emergency did not have any staff during ifter time.,negative,emergency staff ifter time
"One of the best hospital in Bangladesh, clean and organized.",positive,best hospital bangladesh clean organize
Square Hospital is a very good hospital. I think its a very big private  Hospital. All Employees are very helpful. Ground floor you get a cafeteria and 3 banks ATM booths. In the children section have a play ground.one think you must take Dr Appointment from Hospital website  or call centre.,positive,square hospital good hospital think private hospital employees helpful grind floor cafeteria bank booths children section play grind think must take appointment hospital website call centre
Top best private hospitals in Dhaka city the capital of Bangladesh. There are many renowned doctors/specialists/nurses/teams etc. to give service to the patient. Neat & clean environment here and very much disciplined hospital. But to take …,positive,best private hospitals dhaka city capital bangladesh many renowned doctor specialists nurse team give service patient neat clean environment much discipline hospital take
Good healthcare experience. Expensive but good support from the physicians too.,positive,good healthcare experience expensive good support physicians
"The use of staff is not good. In some places, they need to be improved.",negative,staff good place need improve
#EEG department staff are trash. …,negative,department staff trash
One of the best private hospitals in Dhaka city the capital of Bangladesh. There are many renowned doctors/specialists/nurses/teams etc. to give service to the patient. Neat & clean environment here and very much disciplined hospital. But …,positive,best private hospitals dhaka city capital bangladesh many renowned doctor specialists nurse team give service patient neat clean environment much discipline hospital
"One of the best Hospital in Bangladesh,  too crowded everywhere waiting,  but service is good,  world class interior, doctors and staff are well mannered, definitely expensive, but if you think about service & quality it's ok. Offcource there are some draw backs also. but overall good experience.",positive,best hospital bangladesh crowd everywhere wait service good world class interior doctor staff well mannered definitely expensive think service quality offcource draw back also overall good experience
I think that the Square hospital is better hospital in Bangladesh. Very modern medical equipments & medicine expatriates in this hospital at Dhaka. Square hospital is one of the renowned hospitals in Bangladesh. It has several different …,positive,think square hospital better hospital bangladesh modern medical equipments medicine expatriate hospital dhaka square hospital renowned hospitals bangladesh several different
Friendly environment with satisfactory treatment but costing is high.,mixed,friendly environment satisfactory treatment cost high
One of the best private hospital in Bangladesh. They provide quality services. Doctors are very good here. Stuff's are also good. They are also maintaining the social distancing in Covid_19 days.,positive,best private hospital bangladesh provide quality service doctor good stuff also good also maintain social distance days
"This is a top notch private hospital for Bangladeshi people. As everything in Bangladesh is much expensive for high level of inefficiency everywhere (Bangladesh might be the most inefficient country in the world), so what they charge for …",positive,notch private hospital bangladeshi people everything bangladesh much expensive high level inefficiency everywhere bangladesh might inefficient country world charge
I am a regular customer here and I would like to say that I am very happy to get their service.  I hope I will continue to receive services in this way.  Good luck for the long journey of Women Heritage.💜💜💜✌🏻,positive,regular customer would like happy service hope continue receive service good luck long journey women heritage
One of the best hospital in country.,positive,best hospital country
"Good hospital among private hospitals in Dhaka. Had went to their ER for me and family members many times with different problems. Each time patient were properly taken care of, promt service. no hidden charges.",positive,good hospital among private hospitals dhaka go family members many time different problems time patient properly take care promt service hide charge
"Professional and international level service. Focus on hygiene needs to be Improved. Otherwise,  comparable with big names in the healthcare industry in South and southeast asia!",positive,professional international level service focus hygiene need improve otherwise comparable name healthcare industry south southeast asia
"Good place. Has discipline, services are good. So far as many times I've went I haven't faced any problems. Also the canteen is good, food is healthy. And there's KFC just outside. But there obviously a downside to everything I won't mention any as  I haven't faced any.",positive,good place discipline service good many time go face problems also canteen good food healthy outside obviously downside everything mention face
"Absolutely rubbish service from Prof. Ninan Chicko. Would not recommend Square Hospital to anyone. There was no explanation, no courtesy, and no manners. This doctor is not keen to know the problem of his patients.",negative,absolutely rubbish service prof ninan chicko would recommend square hospital anyone explanation courtesy manners doctor keen know problem patients
"The worst hospital ever, they couldn't treat my mother. She was in ICU emergency but couldn't find out what was here problem, when they figure out the problem it was too late, i wish if bangladesh had better medical services, they all think …",negative,worst hospital ever treat mother emergency find problem figure problem late wish bangladesh better medical service think
"A private hospital have almost all kind of medical services. Giant building and huge rush inside it. Entrance is nice looking, parking space enough, help desk very supportive, staffs are well dressed and very attentive to patients. …",positive,private hospital almost kind medical service giant build huge rush inside entrance nice look park space enough help desk supportive staff well dress attentive patients
One of the best private hospital in Bangladesh,positive,best private hospital bangladesh
One of the best hospital in dhaka city. Good parking facility available. All kind of treatment available. Maximum kind of pathological test available.,positive,best hospital dhaka city good park facility available kind treatment available maximum kind pathological test available
One of the best hospital of Bangladesh. It’s very neat and clean. The treatment of this hospital is best. You will get the best treatment here. It’s very well arranged and disciplined. Every individual floor is divided for every section. …,positive,best hospital bangladesh neat clean treatment hospital best best treatment well arrange discipline every individual floor divide every section
"Service is good, better to have links with doctors to know what is really happening inside.. PCA and nurse service excellent",positive,service good better link doctor know really happen inside nurse service excellent
Doctors are good and hospital environment is excellent.,positive,doctor good hospital environment excellent
One of the best Hospital in Dhaka.,positive,best hospital dhaka
"This is one of the best private hospitals in Bangladesh. They have many doctors from India and Bangladesh. They have modern equipments to diagnosis disease. Their staffs are highly trained. Zero tolerance to staffs, if any valid complains …",positive,best private hospitals bangladesh many doctor india bangladesh modern equipments diagnosis disease staff highly train zero tolerance staff valid complain
"The environment is ok! Doctors are familiar, But the hospitality and employer's service is not satisfying! The guards behaviour is very rude sometimes!",mixed,environment doctor familiar hospitality employer service satisfy guard behaviour rude sometimes
Food is disgusting (too much oil)! …,negative,food disgust much
Premium Services in all kinds of healthcare are available here. One of the most renowned private hospital of Bangladesh.,positive,premium service kinds healthcare available renowned private hospital bangladesh
The best hospital at Dhaka in Bangladesh. We love to take treatment from Dr. Raj and Dr. Nargis Fatema I think. Here a nice reception for new patients and also have 24/7 emergency service. Here is very good diagnosis center. They maintain all standards. Here is model Pharmacy and many more...,positive,best hospital dhaka bangladesh love take treatment nargis fatema think nice reception patients also emergency service good diagnosis center maintain standards model pharmacy many
"Many of my family members and relatives who was affected by Covid-19 got released after getting fine and healthy from here. I can't express my emotion like what we to be though those days. I am really happy about the service, the doctors are experts and life saviors. I would always recommend it.",positive,many family members relatives affect covid release get fine healthy express emotion like though days really happy service doctor experts life saviors would always recommend
Square Hospitals Limited is an exclusive hospitals in Dhaka Metropolitan. The place is extremely clean. The service is good. Every patient has a card holding a digital number bear all patient related information which is very good system of Hospital. There is also a Helepad and children playground.,positive,square hospitals limit exclusive hospitals dhaka metropolitan place extremely clean service good every patient card hold digital number bear patient relate information good system hospital also helepad children playground
The service of the hospital is good. They maintain the cleanliness and hygiene factors. They use the best and modern medical equipment. They also have a good number of senior consultants. The canteen inside the hospital serves good and …,positive,service hospital good maintain cleanliness hygiene factor best modern medical equipment also good number senior consultants canteen inside hospital serve good
Jast wow.. Very safe and carefull... Tnxx all,positive,jast safe carefull tnxx
"Square Hospital is very popular if your looking for reliability than low cost. Even though the service is expensive, maybe one of the most expensive hospitals in Dhaka, they are highly professional. I had my baby delivered here and I am …",positive,square hospital popular look reliability cost even though service expensive maybe expensive hospitals dhaka highly professional baby deliver
